"","DATE","CHI003","CHI004","CHI005","CHI007","CHI008","CHI009","CHI010","CHI011","CHI013","CHI014","CHI015","CHI018","CHI019","CHI020","CHI021","CHI022","CHI023","CHI024","CHI025","CHI026","CHI027","CHI028","CHI029","CHI030","CHI031","CHI032","CHI033","CHI034","CHI035","CHI036","CHI039","CHI040","CHI041","CHI042","CHI043","CHI044","CHI045","CHI048","CHI049","CHI050","CHI051","CHI055","CHI056","CHI057","CHI058","CHI059","CHI060","CHI061","CHI062","CHI063","CHI064","CHI065","CHI066","CHI067","CHI068","CHI069","CHI070","CHI071","CHI072","CHI073","CHI074","CHI075","CHI076","CHI077","CHI078","CHI079","CHI080","CHI083","CHI086","CHI087","CHI088","CHI089","CHI090","CHI091","CHI092","CHI093","CHI094","CHI095","CHI096","CHI097","CHI098","CHI099","CHI100","CHI101","CHI102","CHI103","CHI104","CHI105","CHI106","CHI107","CHI108","CHI109","CHI110","CHI111","CHI112","CHI113","CHI114","CHI115","CHI116","CHI117","CHI118","CHI119","CHI120","CHI121","CHI122","CHI123","CHI124","CHI125","CHI126","CHI127","CHI128","CHI129","CHI130","CHI131","CHI132","CHI133","CHI134","CHI135","CHI136","CHI137","CHI138","CHI139","CHI140","CHI141","CHI142","CHI143","CHI144","CHI145","CHI146","CHI147","CHI148","CHI149","CHI154","CHI156","CHI157","CHI158","CHI159","CHI160","CHI161","CHI162","CHI163","CHI164","CHI165","CHI166","CHI167","CHI168","CHI169","CHI170","CHI171","CHI172"
"1",2014-07-01,123,68,68,75,15,50,77,14,42,92,12,40,62,9,240,NA,NA,83,28,60,4,95,245,64,84,88,32,10,NA,2,21,21,64,76,62,NA,220,69,23,85,67,37,1,1,91,NA,NA,NA,NA,124,51,32,10,7,23,21,NA,120,27,31,68,17,44,126,NA,132,4,91,6,33,18,7,26,65,5,65,13,142,NA,1,2,19,64,26,23,7,10,3,10,55,198,67,NA,NA,NA,NA,NA,NA,NA,3,27,62,106,129,25,23,10,52,NA,NA,NA,NA,13,NA,20,NA,NA,NA,11,11,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2014-07-02,83,65,52,75,16,56,75,19,70,78,3,48,31,4,156,NA,NA,63,10,21,31,85,183,58,81,69,41,9,NA,6,23,25,66,71,50,NA,153,48,21,69,58,18,2,4,85,NA,NA,NA,NA,73,NA,NA,NA,NA,9,16,13,108,33,18,62,26,33,85,1,88,3,61,8,23,25,9,14,47,7,40,19,128,NA,NA,10,10,55,15,25,3,2,10,15,44,145,55,NA,NA,NA,NA,NA,NA,NA,12,23,84,61,75,28,16,18,43,NA,NA,NA,NA,12,NA,22,NA,NA,NA,9,6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2014-07-03,128,72,56,47,15,48,108,17,69,94,7,67,58,2,170,NA,NA,82,24,13,57,124,270,62,94,77,21,4,NA,2,19,39,69,72,45,NA,32,70,30,92,74,21,1,6,137,NA,NA,NA,NA,128,NA,NA,NA,NA,2,23,21,126,28,31,69,22,49,72,2,121,15,78,5,38,29,11,18,58,9,72,18,182,1,NA,8,14,91,18,25,6,6,5,17,43,233,98,NA,NA,NA,NA,NA,NA,NA,8,18,93,75,115,29,19,29,60,1,NA,NA,NA,16,NA,33,NA,NA,NA,11,4,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2014-07-04,144,65,25,36,30,78,102,6,52,106,18,76,38,4,177,NA,NA,146,17,NA,NA,NA,289,NA,NA,NA,NA,NA,NA,13,25,32,NA,NA,NA,NA,9,NA,36,130,79,46,4,5,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,30,36,NA,NA,NA,NA,24,44,68,9,157,135,101,14,NA,NA,NA,37,85,38,81,65,248,3,4,NA,NA,NA,50,35,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,22,92,33,104,39,52,19,34,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2014-07-05,158,82,25,34,28,46,90,13,92,88,16,66,35,4,137,NA,NA,113,31,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,12,28,21,NA,NA,NA,NA,217,NA,35,96,84,43,1,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,15,33,NA,NA,NA,NA,26,35,71,8,96,101,95,21,NA,NA,NA,31,70,24,119,41,197,1,3,NA,NA,NA,20,31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,67,83,98,26,25,9,30,1,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2014-07-06,171,77,26,58,15,49,88,13,79,78,NA,70,56,10,164,NA,NA,100,14,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,11,21,19,NA,NA,NA,NA,231,NA,42,91,76,71,2,4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,20,26,NA,NA,NA,NA,37,32,101,5,122,79,79,23,NA,NA,NA,30,102,25,88,51,193,NA,3,NA,NA,NA,24,23,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,28,81,201,89,30,25,16,39,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2014-07-07,116,64,61,44,18,42,67,11,61,93,27,65,31,6,175,NA,NA,81,14,40,58,104,234,79,101,59,25,2,NA,5,20,34,72,78,55,NA,216,50,36,79,66,28,2,4,88,NA,NA,NA,NA,79,62,65,24,14,14,19,25,110,31,36,99,23,33,111,4,119,55,82,10,23,23,4,20,57,10,48,11,144,NA,1,4,11,31,16,38,3,3,12,9,58,204,51,NA,NA,NA,NA,NA,NA,NA,7,18,44,122,78,34,22,13,38,NA,NA,NA,NA,13,NA,23,NA,NA,NA,15,4,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2014-07-08,73,72,62,51,25,38,80,17,63,75,32,64,52,6,159,NA,NA,79,21,31,57,197,222,44,168,92,11,5,NA,3,18,31,74,60,65,NA,181,60,20,63,53,20,3,1,96,NA,NA,NA,NA,84,78,65,24,14,6,10,31,108,49,52,68,23,32,139,1,128,33,59,6,22,37,10,12,62,9,48,NA,137,3,2,2,10,7,13,27,5,8,10,10,74,167,38,NA,NA,NA,NA,NA,NA,NA,10,22,28,132,90,20,18,14,38,1,NA,NA,NA,11,NA,29,NA,NA,NA,20,6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2014-07-09,126,57,39,45,24,42,65,21,73,63,29,66,34,14,172,NA,NA,55,16,26,44,173,221,69,201,78,10,10,NA,6,22,34,89,80,51,NA,160,63,18,61,70,35,NA,3,91,NA,NA,NA,NA,102,69,58,21,11,10,8,24,145,31,23,83,23,39,111,5,102,47,77,13,13,25,6,16,37,7,59,14,183,1,2,3,17,19,21,27,4,NA,5,10,82,162,63,NA,NA,NA,NA,NA,NA,NA,5,18,37,173,78,20,19,22,42,1,NA,NA,NA,8,NA,17,NA,NA,NA,16,8,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-07-10,119,61,46,33,14,66,93,24,67,73,24,47,69,8,171,NA,NA,57,11,12,51,125,205,82,213,78,5,8,NA,6,28,25,71,66,48,NA,NA,48,27,67,50,30,1,5,121,NA,NA,NA,NA,88,73,68,17,16,19,18,15,107,44,41,104,19,34,16,5,100,49,69,17,4,16,7,25,51,11,52,20,119,1,1,5,21,35,28,29,1,10,4,14,71,177,60,NA,NA,NA,NA,NA,NA,NA,9,15,25,183,93,38,15,28,47,NA,NA,NA,NA,17,NA,21,NA,NA,NA,15,9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2014-07-11,115,50,52,44,21,67,85,24,52,67,22,62,41,12,179,NA,NA,NA,26,NA,NA,NA,239,62,228,67,NA,NA,NA,8,20,24,95,59,52,NA,190,NA,30,67,60,16,NA,1,118,NA,NA,NA,NA,83,75,55,27,16,12,1,27,96,26,25,72,34,47,16,5,113,67,69,14,8,17,7,28,47,6,62,10,65,NA,1,NA,NA,NA,26,38,4,NA,NA,NA,68,154,70,NA,NA,NA,NA,NA,NA,NA,8,8,35,201,103,34,17,19,51,1,NA,NA,NA,8,NA,NA,NA,NA,NA,6,5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2014-07-12,132,49,33,32,11,35,83,15,37,35,20,17,34,10,142,NA,NA,70,31,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,9,19,19,NA,NA,NA,NA,187,NA,22,62,51,28,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,7,24,NA,NA,NA,NA,32,45,23,1,128,46,56,3,NA,NA,NA,13,63,4,60,16,84,NA,NA,NA,NA,NA,7,37,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,23,160,69,20,14,7,31,2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
